id,source,text,favorite_count,retweet_count,created_y,created_m,created_d,created_h,created_min
1251146022665048064,Twitter for iPhone,"Today people started losing their jobs because of Crazy Nancy Pelosi, Cryin’ Chuck Schumer, and the Radical Left, Do Nothing Democrats, who should immediately come back to Washington and approve legislation to help families in America. End your ENDLESS VACATION!",194055,53571,2020,4,17,13,50
1251138465246449664,Twitter for iPhone,"....in January and February, as the Virus spread globally? Why did the W.H.O. wait as long as it did to take decisive action? Lanhee Chen, Hoover Institution Fellow @FoxNews",120490,30298,2020,4,17,13,20
1251138462968922119,Twitter for iPhone,Why did the W.H.O. Ignore an email from Taiwanese health officials in late December alerting them to the possibility that CoronaVirus could be transmitted between humans? Why did the W.H.O. make several claims about the CoronaVirus that ere either inaccurate or misleading....,315290,88963,2020,4,17,13,20
1250968694773211141,Twitter for iPhone,"THANK GOD FOR TRUCKERS! 
https://t.co/PNLPAkhNUK",237934,45817,2020,4,17,2,5
1250928193755926531,Twitter for iPhone,https://t.co/lmb1H6I6en,144161,36533,2020,4,16,23,24
1250852583318736896,Twitter for iPhone,"Crazy Nancy Pelosi deleted this from her Twitter account. She wanted everyone to pack into Chinatown long after I closed the BORDER TO CHINA. Based on her statement, she is responsible for many deaths. She’s an incompetent, third-rate politician! https://t.co/uWNI7DCG3o",273414,99047,2020,4,16,18,24
1250851143363805185,Twitter for iPhone,"Major News Conference tonight, the White House at 6:00 P.M. (Eastern), to explain Guidelines for OPENING UP AMERICA AGAIN!",179930,38226,2020,4,16,18,18
1250834265471954945,Twitter for iPhone,Democrats are blocking additional funding for the popular Paycheck Protection Program. They are killing American small businesses. Stop playing politics Dems! Support Refilling PPP NOW – it is out of funds!,174920,47989,2020,4,16,17,11
1250779261595783168,Twitter for iPhone,"Crazy “Nancy Pelosi, you are a weak person. You are a poor leader. You are the reason America hates career politicians, like yourself.” @seanhannity She is totally incompetent &amp; controlled by the Radical Left, a weak and pathetic puppet. Come back to Washington and do your job!",296345,70421,2020,4,16,13,33
1250774109144875008,Twitter for iPhone,".@OANN Poll “Gives President Trump a 52% Approval Rating in North Carolina, and a seven point lead over (Sleepy) Joe Biden. The President also helps other Republican Candidates, including @SenThomTillis, who has a 4% lead over his Democrat rival.”",109731,23858,2020,4,16,13,12
1250526689702150153,Twitter for iPhone,White House news conference today at 5:30 P.M. Eastern. Thank you!,123433,16550,2020,4,15,20,49
1250499831132573699,Twitter for iPhone,"We are having very productive calls with the leaders of every sector of the economy who are all-in on getting America back to work, and soon. More to come! #MAGA",197084,34385,2020,4,15,19,2
1250450832937684992,Twitter for iPhone,"My condolences to the Steinbrenner family, and the entire @Yankees Organization, on the passing of Hank Steinbrenner. He was a friend and will be missed greatly by all! https://t.co/nHsO7Wy0oM",64619,11887,2020,4,15,15,48
1250448788386439168,Twitter for iPhone,#ThanksForDelivering @UPS! https://t.co/4Sis7Tme17,91163,18636,2020,4,15,15,39
1250448126835675139,Twitter for iPhone,"Our GREAT Senator from South Carolina, @SenatorTimScott just released a fantastic new book, “OPPORTUNITY KNOCKS: How Hard Work, Community, and Business Can Improve Lives and End Poverty.” Get your copy today! https://t.co/fmSYMijfgm",56546,14640,2020,4,15,15,37
1250223610867986432,Twitter for iPhone,“The Art of an Oil Deal” https://t.co/UyH5pYTmYw,86823,20881,2020,4,15,0,45
1250203462555570176,Twitter for iPhone,https://t.co/KRxBA0OjpX,81401,16242,2020,4,14,23,25
1250172326920040449,Twitter for iPhone,White House news conference today at 5:45 P.M. Eastern. Thank you!,128854,16890,2020,4,14,21,21
1250088893766078470,Twitter for iPhone,My Administration is committed to protecting the Homeland from the scourge of narco-terrorists and traffickers seeking to destabilize the United States and our Hemisphere. Our military deployments in the Caribbean &amp; Eastern Pacific will endure until these threats are neutralized! https://t.co/iOKSK1NeNf,114862,32161,2020,4,14,15,49
1250075668282576898,Twitter for iPhone,"Tell the Democrat Governors that “Mutiny On The Bounty” was one of my all time favorite movies. A good old fashioned mutiny every now and then is an exciting and invigorating thing to watch, especially when the mutineers need so much from the Captain. Too easy!",162093,37967,2020,4,14,14,57
1250067500190089217,Twitter for iPhone,"GET RID OF BALLOT HARVESTING, IT IS RAMPANT WITH FRAUD. THE USA MUST HAVE VOTER I.D., THE ONLY WAY TO GET AN HONEST COUNT!",286597,68870,2020,4,14,14,24
1250063051182747651,Twitter for iPhone,"Cuomo’s been calling daily, even hourly, begging for everything, most of which should have been the state’s responsibility, such as new hospitals, beds, ventilators, etc. I got it all done for him, and everyone else, and now he seems to want Independence! That won’t happen!",197314,38076,2020,4,14,14,7
1250056263746162688,Twitter for iPhone,The Democrats don’t want to approve more money for our great workers under the incredibly successful “Paycheck” plan. Replenish Account Now!,132122,31698,2020,4,14,13,40
1249888406127153155,Twitter Media Studio,https://t.co/DRVhpMCuAx,80954,23475,2020,4,14,2,33
1249886901320011786,Twitter Media Studio,https://t.co/ImJ7W5MACi,71395,19987,2020,4,14,2,27
1249882105406009345,Twitter for iPhone,https://t.co/NOAE5Q6QxH,136014,34321,2020,4,14,2,8
1249858152578920449,Twitter Media Studio,https://t.co/6fEymjTjUM,161378,55398,2020,4,14,0,32
1249808119217172489,Twitter for iPhone,"My deepest sympathies go out to Frieda Chera and the family of the late, great, Stanley Chera, one of Manhattan’s most brilliant real estate minds. Stanley was charitable, kind, and a wonderful friend. He will be truly missed!",118202,17557,2020,4,13,21,14
1249797383132766215,Twitter for iPhone,"First the Fake News Media said that it’s not fair for the President of the United States to be giving news conferences, but it is the only way I can reach the American People, as seen in the below poll. https://t.co/xP2rqjqtaf",117697,28524,2020,4,13,20,31
1249782050871300096,Twitter for iPhone,White House news conference today at 5:00 P.M. Eastern. Thank you!,144314,21350,2020,4,13,19,30
1249712413219397632,Twitter for iPhone,"....It is the decision of the President, and for many good reasons. With that being said, the Administration and I are working closely with the Governors, and this will continue. A decision by me, in conjunction with the Governors and input from others, will be made shortly!",113532,25353,2020,4,13,14,53
1249712404260421633,Twitter for iPhone,"For the purpose of creating conflict and confusion, some in the Fake News Media are saying that it is the Governors decision to open up the states, not that of the President of the United States &amp; the Federal Government. Let it be fully understood that this is incorrect....",160188,36410,2020,4,13,14,53
1249691642975727616,Twitter for iPhone,"....disaster, the Energy Industry will be strong again, far faster than currently anticipated. Thank you to all of those who worked with me on getting this very big business back on track, in particular Russia and Saudi Arabia.",84645,17234,2020,4,13,13,31
1249691637040795654,Twitter for iPhone,"Having been involved in the negotiations, to put it mildly, the number that OPEC+ is looking to cut is 20 Million Barrels a day, not the 10 Million that is generally being reported. If anything near this happens, and the World gets back to business from the Covid 19.....",113317,23618,2020,4,13,13,31
1249519742093864961,Twitter for iPhone,"The @nytimes story is a Fake, just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban, long before most others wanted to do so. @SecAzar told me nothing until later, and Peter Navarro memo was same as Ban (see his statements). Fake News!",127352,29770,2020,4,13,2,8
1249506799532867585,Twitter for iPhone,"I am working hard to expose the corruption and dishonesty in the Lamestream Media. That part is easy, the hard part is WHY?",399428,74584,2020,4,13,1,16
1249500443782320129,Twitter for iPhone,Thank you Paris! https://t.co/hDUppWgIXA,57575,11998,2020,4,13,0,51
1249499469202292741,Twitter for iPhone,Thank you! https://t.co/z8dgzQxkVC,84612,17937,2020,4,13,0,47
1249497171403120642,Twitter for iPhone,I look forward to it also! https://t.co/IGZLBgJnn2,107630,20600,2020,4,13,0,38
1249489574184747008,Twitter for iPhone,Great going Natalie! https://t.co/OldfyDdFRO,78410,20367,2020,4,13,0,8
1249470237726081030,Twitter for iPhone,"Sorry Fake News, it’s all on tape. I banned China long before people spoke up. Thank you @OANN https://t.co/d40JQkUZg5",118644,37223,2020,4,12,22,51
1249462754257371137,Twitter for iPhone,Fake News! https://t.co/HzPQgbXgxX,63990,16633,2020,4,12,22,21
1249453028178001920,Twitter for iPhone,"Governors, get your states testing programs &amp; apparatus perfected. Be ready, big things are happening. No excuses! The Federal Government is there to help. We are testing more than any country in the World. Also, gear up with Face Masks!",160446,35633,2020,4,12,21,43
1249450614343507969,Twitter for iPhone,"The Opposition Party (Lamestream Media) and their partner, the Radical Left, Do Nothing Democrats, have put their political game plan in full swing. “Whether he is right or wrong, it doesn’t matter. Criticize ’Trump’ for everything, and don’t let the public see Biden. Hide him.”",114186,29666,2020,4,12,21,33
1249437936539631616,Twitter for iPhone,"If the Fake News Opposition Party is pushing, with all their might, the fact that President Trump “ignored early warnings about the threat,” then why did Media &amp; Dems viciously criticize me when I instituted a Travel Ban on China? They said “early &amp; not necessary.” Corrupt Media!",205263,50224,2020,4,12,20,43
